Song,Artist,Scene Description
Silver Sparkler,The Jim Yoshii Pile-Up,"Haley is at the record store looking at Chris Keller's CD, when he appears next to her."
There She Goes,Radius,"Peyton makes a sketch of Ellie, and gives it to her while asking her to leave. (This is incorrect. Actual song is by Schuller -Sleeping Song)"
Sleeping Song,Sébastien Schuller,"Peyton gives a sketch she made to Ellie, and tells her to leave town."
Body 21,Morningwood,The Ravens' cheerleaders and basketball team get ready for the opening game.
"Rock and Roll, Pt. 2",Gary Glitter,Whitey Durham announces Karen Roe is running against Dan Scott in the upcoming mayoral election.
Vila Rada,Nikola Sarcevic,End of episode.
1,Joy Zipper,"At school, Haley waits for Nathan."
Coming Back To You,Black Toast,Karen shows Deb the new signs for her mayoral campaign.
Shadowland,Youth Group,The squad watches the boys practice.
Please Please Please,Shout Out Louds,"In the gym, Lucas runs alone. Peyton sketches while Brooke scouts potential picks for the upcoming ""Fantasy Boy Draft""."
Vaguely Happy People,Tommy Fields,Haley and Lucas talk.
On Lavender Hill,The Real Tuesday Weld,"At the cafe, Chris and Haley talk."
Premonition,Careen,Dan visits Karen's Cafe to bother Karen.
Sweet Troubled Soul,Stellastarr*,"The team trains in the gym; Lucas sits out. Bevin, Haley, and Peyton talk about the ""Fantasy Boy Draft""."
Boyfriend,Ashlee Simpson,Rachel brings cupcakes to the draft.
This Is The Place,Jim Kremens,"At the cafe, Lucas and Karen eat dinner and talk about the election."
All The Time,Kid Gloves,"The cheerleading squad drafts the boys in the ""Fantasy Boy Draft""."
Rewind - Decade In The Sun Version,Stereophonics,End montage.
i forgive you,emcee one,Add scene description
Lifting the Veil From the Braille,The Dissociatives,Nathan has a curious dream.
Let It Fall,Bosshouse,Karen and Deb climb the ladder in order to ruin Dan's billboard.
Good As Gold,Bleach,"Peyton, Mouth, and Mel (Fireball) race go carts"
Your Ghost,The New Amsterdams,"Lucas & Rachel have their date at the rivercourt. / Nathan and Haley talk on the balcony. / Brooke and Chris toast to her designs, and Karen and Deb get their ladder."
Tender,Feeder,"Nathan writes his prediction. Nathan tells Haley not to worry about their wedding spot, then gives her a purple' flower and says ""Don't say I never gave you anything."" Haley hugs Nathan."
I'm Going to Stop Pretending That I Didn't Break Your Heart,Eels,Brooke confesses to Peton & Haley that she slept with Chris. Peyton tries to cheer her up on a walk. Lucas jogs.
Motorcycle Dreamer,Red Letter Days,Brooke talks to her boss at Suburban Filth about her designs
Cracks In The Sky,Bosshouse,Chris talks to Dan about the money Nathan owes him for Haley' s studio time; Nathan and Lucas talk in the locker room.
Over,Jimmy Eat World,Haley & Peyton patch up in the car. Lucas & Nathan prep before the match.
Feels Just Like it Should (Remastered for 2006),Jamiroquai,song playing when the cheerleaders do their routine
Sirius,The Alan Parsons Project,Dan asks Lucas to pass the ball to Nathan during match.
Star-Spangled Banner,Tyler Hilton,chris sings before the game
The Mixed Tape,Jack's Mannequin,song playing during the basketball game
Song Beneath the Song,Maria Taylor,End of episode
Motorcycle Dreamer,Lamar,Add scene description
Holiday,Doktor Kosmos,Nathan & Chris Kellar drive to a Pokergame to win money for Haleys Musicdemo.
Funk Left,Mike Datz,Chris and Nathan play poker on the casino boat.
Keo's Blues,Luthor Russell,Add scene description
It Dawned On Me,Calla,"Montage - Brooke makes clothes, Chris/Nathan play poker and Karen calls someone."
Lights and Sounds,Yellowcard,Nathan and Chris jump of the ferry boat after they have taken the money from the poker game.
The Fallen,Franz Ferdinand,"Brooke has a ""fashion show"" of her new clothing line for Haley and Peyton."
Slumberland,James William Hindle,Brooke and Haley talk. Chris Keller leaves Tree Hill once again.
Say Anything,Dios Malos,Peyton's inner-self 'Peyngel' mimics and intimidates Peyton.
Disintegration,Jimmy Eat World,"Dan is announcing his win for Mayor, and Lucas and Deb are talking about the night she tried to set the dealership on fire."
Halo,Haley James Scott,Nathan listens to Haley's song. Peyton looks for Ellie's bracelet.
For Blue Skies,Strays Don't Sleep,"In the bedroom, Nathan asks Haley to stay the night with him. Lucas and Brooke kiss and say I love you."
"Sugar, We're Goin Down",Fall Out Boy,Beginning; season recap.
Song for a Sleeping Girl,Devics,Opening montage.
The Death of Us,The New Amsterdams,Peyton's ask Lucas to go see Ellie with her. Nathan drives to visit a secret someone.
Simple,Katy Perry,Lucas calls Brooke to let her know he's on the road with Peyton.
Lost In Hollywood,Fighter Pilot,"At Brooke and Haley's place, everyone makes dresses for Clothes Over Bro's."
Easier to Lie,Aqualung,Ellie and Peyton talk about Haley album.
To Wish Impossible Things,The Cure,Peyton and Ellie debate over the best Cure album.
State of Affairs,The Living Blue,Lucas and Faith play basketball
Since You've Been Around,Rosie Thomas,Deb and Nathan talk in the car.
Halo,Haley James Scott,End.
Over My Shoulder,I Am Kloot,Ellie surprises Peyton in her bedroom after the game.
Low C,Supergrass,Keith suprises Karen at the café
Concrete Bed,Nada Surf,Ellie and Peyton at the concert
You Wanted It (Album Version),MoZella,Lucas and Brooke are interrupted by the argument Nathan and Haley have
Free,Kate Earl,Lucas and Brooke talk about Rogue Vogue
Always Love,Nada Surf,Peyton and Ellie in the car. Peyton gets the call for Nada Surf.
Moksa,Twinstar,Add scene description
The Blues,Switchfoot,The end of episode
(So I'll Sit Here) Waiting,The Like,"Peyton talks to the guidance counselor; Peyton discusses the ""friends with benefits"" with Ellie"
Bounce,Molly M.,Brooke walks in on Mouth helping with a Raven cheerleading routine.
Adele,White Mud Freeway,Lucas comes over to Brooke's
Tell Me Story,Sorta,"Peyton and Ellie talk about music, art and cheerleading."
Steve McQueen Was A Great Papillion,Leif Karate,Heard during the first half of the basketball game.
Faith Hope Love,Starsailor,"Lucas makes the shot, the Ravens win the game."
Life After Love,Colored Shadows,"The end of episode. Peyton,Brooke,Haley,Lucas,and Nathan talk about their dream school and their values. Keith tells Dan to go home."
Missing You (Acoustic Version),Tyler Hilton,Haley and Nathan run out in the rain.
The State,Limbeck,Mouth comes to Rachel's room and takes a selfie to prove he was there.
Lions In the Storm,Elysian Fields,Rachel & Mouth talk. Brooke & Lucas try to find a light due to the blackout.
Hope,The Submarines,Brooke & Lucas argue in the rain. Peyton & Ellie talk in her room.
Where Gravity Is Dead,Laura Veirs,Nathan and Haley talk and eat cereal. / Karen and Keith talk at the café. / Dan searches Keith's apartment.
Think of You,Reeve Carney,Lights come back
Lock-Sport-Krock,Nikola Sarcevic,Peyton and Ellie say goodbye. Haley wakes up and finds Nathan hanging up her news paper clippings
World Spins Madly On,"The Weepies, Deb Talan, Steve Tannen",Brooke consloles Peyton at school. Dan goes to the bank. Peyton scatters Ellie's ashes at the meadow.
Here Comes a Regular,The Replacements,Ellie is dying & Peyton Gets the Friends with Benefit CD's.
Chali Arr Arr Tu Chali,Anand Bakshi S.D.Burman,Brooke asks the indian cabdriver to turn on the radio
Armani,Joel Wachbrit,Brooke and Solaris go to a New York City club.
Idle Acres,The Belles,"Peyton, Brooke & Haley drive to New York for Rogue Vogue."
Torn Between Two Lovers,Mary Macgregor,"Brooke, Haley & Peton play the radiogame in Brooke's car on their way to New York"
Nth Degree,Morningwood,"Brooke, Peyton, and Haley arrive in New York."
Huddle Formation,The Go! Team,The cheer competition and when everyone dances after Peyton messes up the routine.
Hard to Beat,Hard-FI,Peyton and Rachel drinking tequila
Tear You Apart,She Wants Revenge,Brooke finds Solaris in the VIP room
Let's Be Friends,Deathray,Rachel and Peyton talk and get drunk.
Go On My Child,Michelle Featherstone,Brooke decides between cheer & Rogue Vogue.
Love You More,James William Hindle,Peyton goes outside and Lucas joins her to talk.
Halo,Haley James Scott,When Haley sings at the concert.
Night Is Still,Strays Don't Sleep,Brooke and Peyton talk about the time capsule and benefit concert.
"Nobody Move, Nobody Get Hurt",We Are Scientists,Brooke and Peyton find out that Karen and Keith are engaged.
Holiday from Real,Jack's Mannequin,Mouth and Brooke talk backstage at TRIC
"A Little Less Sixteen Candles, a Little More ""Touch Me""",Fall Out Boy,at Tric for the Breast Cancer Benefit Concert
Dark Blue,Jack's Mannequin,at Tric for the Breast Cancer Benefit Concert. Also the ending CODA.
Finale,Les Misérables Original London Cast,"Haley hums then mentions the finale to the famous Broadway show ""Les Misérables."""
I'll Catch You,The Get Up Kids,Rachel and Mouth talk outside TRIC. Nathan and Haley talk in the dressing room.
The Mixed Tape,Jack's Mannequin,at Tric for the Breast Cancer Benefit Concert
God Bless the Child,Michelle Featherstone,End montage.
Saving Peyton Along The Way,John Nordstrom,"At the end, Jimmy and Keith are shot whiles Lucas is talking."
Do You Want to Come With?,Stephen Fretwell,At Keith's funeral
Break Your Mama's Back,Slow Runner,At the party in the school after the shooting
Can't Cry Hard Enough,Tom Freund,Lucas & Skills talk in his bedroom; Nathan & Haley are dancing together
How to Save a Life,The Fray,Nathan and Haley back together in apartment; Peyton and Pete; Whitey cleaning the hallway.
Light On My Shoulder,Susie Suh,Karen picks up Keith's shirt and cries; Rachel kisses Mouth telling him that she was the one who leaked the tapes.
Daughters of the Soho Riots,The National,Nathan and Haley on the football field waiting for rain.
If We Cannot See,Devics,"The end of episode, the guys go to Jimmy's funeral."
Revenge,The Waking Hours,Lucas and Rachel meet up with Brooke at the party.
Murderous Youth,The Living Blue,Add scene description
I've Got a Dark Alley and a Bad Idea That Says You Should Shut Your Mouth (Summer Song),Fall Out Boy,The end of episode
Reanimation,Blackalicious,everyone is dancing at the club
Get It Together,The Side Effects feat. TJ Zindle,"Everyone plays a game of ""Never Have I Ever."""
Brand New Orange,Limbeck,The gang packs the car at Lucas' house before they leave for the weekend.
Not What I Wanted,Evan Olson,"When Mouth mentions Rudy, the creepy guy who wants to dance with him."
Perfect Now,Sarah Blasko,"Luke told Brooke  he misses Keith, Nathan and Haley sleeping in bed. Mouth and Peyton talked about Pete."
Washed Out,The Eames Era,"When Brooke spills her tea on Haley, helping Nathan get Haley's wedding ring"
Time,Monsters Are Waiting,Peyton and Pete chat outside the cabin.
Rose,Stephen Fretwell,Mouth talks to Rachel in the jacuzzi. Brooke and Lucas snuggle by the fire.
The Fallen,Franz Ferdinand,when brooke trys to steal haleys wedding ring back for nathan to propose again!
We Belong Together,Gavin DeGraw,Haley tells Nate an idea she has for before the wedding. Luke tells Karen about his heart condition. Peyton goes to see Jake at the airport. Karen tells Deb she's gonna need a lot of help.
Train,Flipsyde,First game since Keith died. Lucas tells Whitey he can't play. Ravens forfit the game.
Temporary,Rogue Wave,Nathan and Haley talk in bed.
Begin,The Times,Mouth and Rachel are talking about how he didn't care what she looked like. At school
He Lays In the Reins,"Iron & Wine, Calexico",Lucas tells Whitey and Nate about his heart condition and leaves the game. Nate scores during the game.
Don't Go Home,Buddy,Larry talks to Peyton about guys and love.
Stupid,Spencer Tracy,"Fall Out Boy's manager, Bill calls Peyton."
Miracle of Mind,Joey Degraw,Lucas talks to Deb at the café.
The Adventure (Radio Edit),Angels & Airwaves,Beginning of the episode
Look After You,The Fray,"In the end, when Peyton is called mom and Nathan is talking in the background"
Unsatisfied,Nine Black Alps,When the Ravens win the tournament to get into the playoffs
New York Minute,Mobile,Car wash
Our Own Time,Joey Degraw,Peyton and Jake talk at a bar in Savannah.
Someday,Bryan Greenberg,Jake sings this song to Peyton
Close Your Eyes,Turn,Jake and Peyton are talking how he can't just leave his life in Savannah and Peyton storms off.
Jealous Guy (Acoustic),Gavin DeGraw,"Brooke, Mouth, Cooper in Karen's Cafe"
Arsenic,The Loved Ones,Played at the start of the big game scene; when Damien and Haley shove each other
Flight of the Hobo,Rocket from the Crypt,Nathan walks back into the game
We All Lose One Another,Jason Collett,Rachel calls Cooper. Brooke is working on the dress.
Coffee and Cigarettes,Michelle Featherstone,End scene where Haley goes to talk to Dan and Peyton tells Brooke she still has feelings for Lucas
Your Ghost,The New Amsterdams,Brooke and Rachel talk about mirror incident
Be Gentle With Me,The Boy Least Likely To,Friends act out Naley love story
Strangled By the Thought (Cured),The New Amsterdams,"Peyton's car breaks down, the scene flashes back to her and Jake"
Middle of Nowhere (Album Version),Hot Hot Heat,The Reenactment of Nathan and Haley's love begins at their rehearsal dinner.
We Are Man and Wife,Michelle Featherstone,Michelle Featherstone performs at Nathan and Haley's wedding ceremony
Boston,Augustana,Lucas dances with Brooke.
Seasons Change,Susie Suh,Lucas talks to Nathan at the rivercourt. Dan and Deb talk at the cemetery.
Chasing Cars,Snow Patrol,Lucas and Brooke argue about Peyton. Nathan and Lucas check on Haley  
On Again,Spacebar,Everyone arrives at the reception
Babe I'm Gonna Leave You,Led Zeppelin,ending CODA/ when the limo goes off the bridge
More Than Anyone,Gavin DeGraw,haley and nathans first dance at their wedding reception
How to Save a Life,The Fray,Add scene description
Matching Weight,Trespassers William,"Beginning, Cooper and Rachel in the limo."
Wrong Choice,The Lovely Feathers,"Peyton is burning all her pictures with Brooke and remembers how Brooke reacted when she told her, she still had feelings for Lucas."
Don't Wait,Dashboard Confessional,Deb is tempted to take pills and Dan is painting over the murder sign
Everything'll Be Alright (Will's Lullaby),Joshua Radin,Rachel asks Brooke if it is possible if people can change.
Within You,Ray LaMontagne,When Brooke and Lucas break up
A Message,Coldplay,The end of the episode
Currents,Dashboard Confessional,Beginning.
No Turning Back,Tom Freund,"Nathan visits Cooper at the hospital, they are talking about what happened at the bridge. Peyton calls Derek, he tells her not to call again."
Le Disko,Shiny Toy Guns,Brooke and Rachel are at the club for Brooke's 18th birthday.
The Way You Do,Five Times August,Rachel gives Brooke her secondhand death flowers.
One More Night - (Your Ex-Lover Remains Dead),Stars,Deb's antics turn dangerous at the café. Dan watches a campaign video.
Westgate,Buddy,Peyton is making a podcast about her brother Derek. Haley and Karen talk about being pregnant at 17.
Born On the Cusp,The American Analog Set,"Peyton and Lucas are in Peyton's car, talking about what Nathan saw during the accident."
The Man Who Told Everything,Doves,End montage.
Way Back Home,The Wreckers,Lucas and Peyton are talking about her brother Derek.
Play Hurt,The American Analog Set,"Before the game, Lucas and Skills sit on the benches at the basketball court."
Point of View,Little Humans,"Lucas talks to Brook outside of school, offering to exchange his lunch with her."
Post Blue,Placebo,Basketball scene. Nathan is shooting his free throws and misses one.
Keep It Comin',Black Toast,"During the game, Skills joins for the first time."
The Queen and I,Gym Class Heroes,Skills and Bevin play beer pong while Nathan and Haley arrive to the party.
Walk the Moon,Belasco,At the post game party when a drunk Mouth talks to Lucas.
Goodnight,La Rocca,Party. Nathan and Rachel start talking.
Won't Back Down,Mat Kearney,Nathan and Haley talk in bed about the river and Rachel.
Calendar Girl,Stars,"Peyton and Derek are talking in her room, and she offer Ellie's drawing to Derek."
Cool Kids Keep,The American Analog Set,"Beginning, Luke wakes up. Haley wakes up to find Nate working out. Brooke finds the pamphlets Rachel put out."
Post Blue,Placebo,Rachel arrives at her photoshoot. Nathan crashes on the motorcycle.
Back Together,Citizen Cope,Brooke and Haley talk about her baby in the locker room.
Allison,Jeremy Kushnier,Derek tells Peyton that she looks beautiful. Peyton tells Derek that Brooke and Lucas are done.
Everybody in Da House,Selectracks,Rachel and Nathan talk at TRIC about the crash.
Downtime,Dr. Caligari,Deb turns things around on Karen.
"Kick, Push",Lupe Fiasco,Lupe Fiasco performs at TRIC.
I Gotcha,Lupe Fiasco,Derek talks to Luke at TRIC about Brooke and Peyton. Brooke talks to Glenda. Nathan talks to Haley about Brooke's pregancy
Crash & Burn,UTAH,Haley catches Brooke drinking on the stairs. Nathan and Rachel get on the motorcycle and drive off.
I Am the Highway,Audioslave,Dan comes to Karen's house to talk to her. Nathan and Rachel talk at the river. Mouth tells Brook to keep the baby. Haley tells Lucas she is pregnant.
The Truth,Si*Se,"Rachel tries to seduce Nathan, where he tells her that Haley is pregnant "
You Made It (feat. Chris James),DJ Shadow,"Lucas lets Peyton stay at his place, tells her she's safe"
"Something's Broken"" (AKA ""Imposter"")",The Burning Effigies,Rachel is making Brook an online profile. Peyton realizes something is wrong when Lucas IMs her.
Prayers for Rain,The Cure,Peyton goes to Derek's apartment and confirms the fear she had. Nathan asks his mom to come to the conference sober
Lights Go Red,Chicks With Hits,Brook and Rachel meet and spend time at a bar and Brook meets a new guy.
City of Devils,Yellowcard,End of episode.
Beautiful Day,Mellowdrone,Beginning of episode. Nathan's motorcycle gets towed. Rachel and Brooke talk.
It's You,Annie Stela,Haley comes to Karen worried about the baby. Peyton asks if she can stay the night with Lucas
Do It Alone,Sugarcult,The Ravens Advance into the championship Weeks pass by
Junk,Brainpool,Brooke making Nick wear the dress she is making.
Prelude 12/21,AFI,Derek makes Peyton fight back in the ring.
12,Alexi Murdoch,End of episode.
Rusted Wheel,Silversun Pickups,Karen gets Tric back from Dan
Shotgun,The Outline,"Basketball game, Peyton runs out of the gym"
"Bomb 1,2,3",Icon,T.A.R.T. Fashion Show.
Let Me Be,Tiffany,"In the dressing room, Mouth pastes body jewels on the model."
The Beauty Inside,Salme Dahlstrom,"In the dressing room, Brooke talks to Rachel about her magazine spread."
Sexy Baby,Moses McLean,T.A.R.T. Fashion Show.
Out Of Line,The Bravery,Nathan opens his mother's wall safe. Deb gets arrested for stealing the doctor's prescription pad.
Poison Heart ,El Gato,Peyton's room.
Detail 2003,Voicst,Brooke catches the English teacher with the model.
The Funeral,Band of Horses,End of episode. Lucas shaves points for Nathan at one of the games.
Oh Lately It's So Quiet,OK Go,Brooke talks to Rachel about Lucas. Peyton tells Lucas the good news about Derek.
Lay Me Down,The Wreckers,"Lucas tells Karen and Haley, he's going to the banquet with Brooke."
No Way Back,8mm,"Dante leaves the river court. Rachel opens her progress report. Brooke shows up at Lucas's door, Peyton comes out brushing her teeth."
Open Window,envelope,Nathan visits Haley at the coffee shop.
Nin-Com-Pop,Lali Puna,Derek tells Peyton to ask Lucas to the banquet. Lucas talks to Nathan about presenting the MVP award to him.
Try to See it My Way,The Burning Effigies,Rachel helps Brooke set up the room for the banquet.
Goodbye,Smith Point,"At Peyton's locker, her and Lucas talk about the banquet."
I Remember Everything,Voyager One,"At the banquet, Peyton comes with Derek to the table Brook set to disturb her."
Burn Me (as Heard On Ghost Whisperer),Bosshouse,Dan comes to meet Dante at the club to settle the score he has with Nathan.
11/22,Buddy,Derek tells Peyton he needs to leave for the base before he is reported.
Center of Attention,Jackson Waters,CODA: end montage of scenes
The Truth,La Rocca,Beginning of the episode
Summer,Belasco,Peyton and Brooke start fighting in the car. The Ravens look at the court for the first time.
Revelations,Audioslave,Nathan goes back on to the court in the second half to try and win the State Championship.
Wolf Like Me,TV On The Radio,First part of the game. Nathan loses the ball
Heartbeats,José González,Ravens win the championship; Lucas tells Peyton that she's the one he wants.
Ice Age,Pete Yorn,Nathan talks to Lucas after the game. Dan tells Karen to have some fun!
Lesson Learned,Ray LaMontagne,Haley gets run over by Daunte. Lucas has a heart attack. Nathan beats Daunte and Dan takes the blame for him.
Recognition,Susie Suh,"Beginning, Keith guides Lucas around the hospital to the news Nathan receives."
Forever and Ever Amen,8mm,"After being hit by a car, Haley is in the hospital. Nathan asks her to give him a sign that everything is okay."
Hall of Fame,The Meeting Places,"In Lucas's alternate reality, Nathan goes to the Music store and breaks the Haley James Vinyl on the counter."
Non Believer,La Rocca,"Lucas lying unconscious in the hospital, Peyton goes to the record shop and Max gives her the vinyl of this song; (repeats) at the end of the episode, Lucas wakes up."
When I'm Gone,Sparrow House,Beginning.
Different Sound,Teddybears,"""Breaking & entering"" at the school."
Hard to Love You,The Wreckers,"Lucas talks to Haley about Nathan not telling her the truth, Gigi breaks up with Mouth, Peyton tells Haley that she brings bad luck to everyone."
Dream,Priscilla Ahn,Deb talks in her rehab group and denies help.
Chenoa,Chris Mills,Deb is talking to the Nurse who brought her medication at the rehab center.
Grey Room (Live),Damien Rice,Nathan apologizes to Haley.
Wait for Love,Matt White,Peyton walks towards Lucas in the high school corridor and tells him that they have waited long enough and kiss.
Naive,The Kooks,Beginning.
"Sing, Theresa Says",Greg Laswell,Lucas and Peyton are in her bedroom. Peyton finds the song on her phone.
Passion for Pageants,Patsy Butterfield,A video of Rachel at a frat party is played at the Clean Teens meeting.
I Lost My Heart,Naut,Lucas and Karen talk about Keith at the cafe.
A Sunset Knife Fight,Logh,Lucas and Peyton talk in her kitchen. Dan and Karen talk at the cemetery. Dan tells Deb he never loved her.
Indian Summer,Sharron March,"Nathan shows Mouth and Skills his ""moves."""
3 A.M.,Orbiter,Chase and Brooke go out to eat together.
Dancing the Night Away,APM Music,Chase and Brooke talk as they walk along the boardwalk.
Little Helper,Salme Dahlstrom,A heavy guy strips before Skills and Nathan.
It's Tricky,Run DMC,"Nathan, Mouth and Skills strip tease"
Lucky You,The National,CODA: Ending Scenes
Animal Chin,EEK,Intro - Lucas voiceover
What Can I Do?,The Rosebuds,"Mouth, Lucas, Nathan, Peyton, Haley and Brooke do famous impressions."
Masochist,Ingrid Michaelson,Everyone talks about their fears.
Chloe Dancer / Crown of Thorns,Mother Love Bone,Everyone talks about where they hope to be in ten years.
Tuesday's Gone,Lynyrd Skynyrd,Everyone tells a secret.
Don't Wait,Dashboard Confessional,[Acoustic version] Before picture time with everyone.
Baba O'Riley,The Who,End of the episode.
Sewn,The Feeling,Opening scenes
About Today,The National,Haley talks to Brooke about the stolen test. Deb's nurse talks to her.
Overboard,Ingrid Michaelson,Haley talks to Nathan about losing her tutoring job
Into The Light,The Chemistry Set,Lucas tells Peyton about his novel and they make out when Brooke walks in and asks Peyton to sign off over the art work for her fashion line.
Do You want to Party with me?,Bosshouse,The senior party begins...
About You,Loops,"Party at the Scott house, Haley ask Brooke and Chase if they've seen Rachel."
Well Here We Go Again,Bosshouse,Haley confronts Rachel about the test.
"Far from the Last, Last Call",The Ataris,Rachel tells Brooke she switched their tests. Nathan feels the baby kick. Mouth and Shelley hook up.
Close Your Eyes,Young Love,"Chase talks to Brooke outside. / Skills puts in a videotape titled ""Nathan Scores"" and Shelly ditches Mouth after an intimate time spent together."
Crash Sounds,Blackpool Lights,Dan drops Karen off at her house. / Lucas and Peyton hook up at the party.
Great Companion,Landon Pigg,"The end, Nathan and Brooke kid around outside. Rachel looks at her high school memories."
Well Here We Go Again,Bosshouse,Haley confronts Rachel about the test.
About You,Loops,"Party at the Scott house, Haley ask Brooke and Chase if they've seen Rachel."
Are You Gonna Be My Girl,Jet,(Flashback) A party two years earlier.
Phantom Limb,The Shins,"Lucas stops by Peyton's house to check on her. Nathan visits Brooke to apologize about the video tape, Brooke then heads over to the gym to set up for prom"
Three Seed,Silversun Pickups,"Lucas runs into Peyton tossing Brooke's dress. Mouth talks to Brooke at the gym, and Dan gives Nathan some ""fatherly advice"" about Haley's list request."
Blindsides,Buddy,Haley tells Lucas to be nicer to Peyton. / Mouth visits Rachel.
These Arms,Matt Costa,Nathan gives Haley the list. / Rachel packs up her things.
Sometimes,Howie Beck,"Nathan and Peyton talk in her room. Brooke's prom dress is left at her doorstep, she also finds herself a prom date."
Life is Beautiful,Vega4,Ending montage.
I wanna,Black Toast,Add scene description
Forever Young,Alphaville,Lucas waits for Peyton at the prom ....
Super Sexy Free,Bosshouse,Add scene description
Let It Out,Within Reason,When Nathan asks Haley if she's ready to dance.
Favorite Sin,Within Reason,The band plays at the prom;  Brooke goes to check on Peyton.
Please Resolve This,Altarmotive,"Rachel is talking with Mouth, in her Limo going back to the airport, after unsuccessfully crashing the prom. Lucas is talking to Glenda while walking down the school corridor."
Nux Vomica,The Veils,Ian almost kills Brooke and Peyton asks him if she can do it.
Hard feelings,Master Source,Peyton is attacked by Psycho Derek after he has been hiding out and planning his next attack.
On a natural high,Sissy Prozac,Dan reads a text on his phone telling him he is being watched at the prom by the person who saw him commit murder.
Daisychains,Youth Group,Starts when Nathan dances with Haley in his arms. Goes on until the end of the episode.
No Stars,Maria Taylor,Mouth and Rachel dance at the airport.
Stay Away,The Honorary Title,Beginning of the Episode. The crew set out on their road trip to go help Mouth.
Sometimes I Feel,Fuse,The group shares yearbook memories
Oldest Story In The World,The Plimsouls,Mouth's stuck in jail. / The car breaks down.
She Back,Bosshouse,Someone from their past surprises the group on the road..
Midnight Rider,Allman Brothers Band,The bus pulls into Honey Grove's town square.
This Boy,James Morrison,The gang goes to get Mouth out of jail. / Karen awakes to Dan in her living room
She Wakes When She Dreams,Lucero,Chris talks to Mouth about Rachel. / Brooke helps Peyton get ready
Lifesize,A Fine Frenzy,Skillz talks to Lucas about the school shooting
Penetrate Your Soul,Selectracks,The gang arrives at the Honey Grove High School prom
Good Vibrations,Gym Class Heroes,Everybody dances at the prom
You'll Ask for Me,Tyler Hilton,Peyton goes to talk to Brooke at the gazebo
Stolen,Dashboard Confessional,Starts when Nathan and Haley are dancing together at the prom / ends with Lucas and Peyton kissing in the hotel.
Friend to a Stranger,Emerson Hart,Beginning scene
Philosophia,The Guggenheim Grotto,Brooke tells Peyton about the articles and Haley joins them on the bed.
In My Dreams,Scanners,Peyton and Brooke look up Ian Banks on the internet. Dan sits in a church.
Lost along the way,John Nordstrom,Dan comes to Abby's house and gives her the doll. Peyton and Brooke start to walk in prison to visit Ian
Soon Enough,Constantines,End of the Episode
The Words We Say,Straylight Run,Whitey is packing away his office. Peyton and Brooke talk about the last week of high school
Disasters Are Okay,Letting Up Despite Great Faults,Karen talks to lucas about keith and her relationship with Dan.  Lucas tells karen about Abby
The Way I Am,Ingrid Michaelson,Chase and Brooke sign each others yearbook.
Be By Your Side (Live),The Storys,Nathan is calling other schools for a scholarship offer and Haley walks in to tell him they are going to get through everything together.
Burgundy Shoes,Patty Griffin,Nathan goes to talk to Principal Turner about reconsidering Haley to give the speech at graduation. Dan goes over to Karen's while Lucas watches.
Something to Believe In,Aqualung,"Nathan looking in his year book, Whitey makes a phone call, Mouth sees Jimmy's mum, Lucas aims the gun at Dan"
A Strange Kind of Love (Version 1),Peter Murphy,Lucas confronts Dan with gun while mom is passed out.
Isn't That Right,Satchel,"In the hospital, Haley talks to Peyton."
Tell Me What It Takes,Lucero,Nathan asks Skillz for help from his father.
Last Request,Paolo Nutini,Before Brooke walks into the principal's office to confess stealing the calculus test.
Under the Folding Branches,The Veils,"Peyton helps Lucas in his hospital gown, Brooke and Chase play around in their Graduation gowns."
Taking Back What's Mine,New Moscow,Coach takes Haley for a walk; he tells her he will help Nathan as much as possible. Haley tells him she is ready to sacrifice her life for Nathan's happiness.
Wrecking,Laura Veirs,Nathan confronts Dan about Keith and finds out the truth.
Times Like These,Foo Fighters,Haley goes into labor.
Lightning Crashes,Live,"Opening, Haley is rushed to the hospital."
Say It Ain't So (Non-Album Track),MoZella,Karen goes to see Dan.
Closer,Travis,Lucas and Peyton cuddle at the fountain
Two,Ryan Adams,Lucas shares big news with Nathan.
Wannabe,Spice Girls,The girls put on a show.
"Rapper's Delight (7"" Single Version)",The Sugarhill Gang,Nathan plays old-school rap music for the baby in the nursery
Henrietta,The Fratellis,"Brooke, Mouth and Chase arrive at the party."
Three Seed,Silversun Pickups,Haley asks Brooke to be James' Godmother.
Home Sweet Home,Mötley Crüe,Haley tells Nathan she can't reach Deb. Mouth kisses Brooke.
God is a bullet,Cristian Amigo,Brooke gives Rachel her THHS diploma.
Start a War,The National,Karen takes Lily to visit Keith's grave
Walking Away,Leopold,Brooke reads part of Lucas' book.  Shelly is confronted by an old boyfriend and mouth kicks his ass.
They'll Never Know,Ross Copperman,"Karen visits Keith and her daughter Lily in her dream. Haley gives birth to her son, James Lucas Scott."
Within You,Ray LaMontagne,Ending montage.
Mercy,Black Rebel Motorcycle Club,"Opening, season four flashback montage."
Light Up the Sky,Yellowcard,First look at Peyton and Brooke.
American Beauty,Salme Dahlstrom,At the record label meeting.
I'll Be - New Album Version,Low vs Diamond,Peyton plays a song for her boss.
Steal Me,Jupiter Sunrise,Lucas tries to write.
You Got What It Takes,Selectracks,(Flashback) Haley leaves Nathan and Lucas at Nathan's shoe launch party.
Irvine,Kelly Clarkson,Brooke fires one of her employees.
What U Gonna Do,Lil Coe / Northstar,Peyton talks to her boss about her job.
